"","mean","detected","use","feature_symbol","sc3_gene_filter","sc3_4_markers_clusts","sc3_4_markers_padj","sc3_4_markers_auroc","sc3_5_markers_clusts","sc3_5_markers_padj","sc3_5_markers_auroc","sc3_6_markers_clusts","sc3_6_markers_padj","sc3_6_markers_auroc","sc3_7_markers_clusts","sc3_7_markers_padj","sc3_7_markers_auroc","sc3_4_de_padj","sc3_5_de_padj","sc3_6_de_padj","sc3_7_de_padj"
"Tb04.24M18.150",0.8890625,2.03125,TRUE,"Tb04.24M18.150",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb04.3I12.100",0.1734375,2.1875,TRUE,"Tb04.3I12.100",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.30F7.410",0.9828125,0.3125,TRUE,"Tb05.30F7.410",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.10",0.015625,0.9375,TRUE,"Tb05.5K5.10",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.100",0.346875,1.71875,TRUE,"Tb05.5K5.100",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.110",1.7046875,10.15625,TRUE,"Tb05.5K5.110",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.120",2.2234375,2.03125,TRUE,"Tb05.5K5.120",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.130",7.8171875,11.40625,TRUE,"Tb05.5K5.130",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.140",0.265625,3.4375,TRUE,"Tb05.5K5.140",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.150",6.4328125,13.75,TRUE,"Tb05.5K5.150",TRUE,1,3.62782389256863e-07,0.620260576782316,1,0.0948201067350124,0.59337376460018,6,0.000325944299080094,0.614339324511159,7,0.00535743337581418,0.610661645045799,5.58767387855313e-06,8.49783493635948e-05,3.17195663928692e-05,9.29362309572463e-06
"Tb05.5K5.160",1.771875,6.09375,TRUE,"Tb05.5K5.160",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.170",0.9203125,4.6875,TRUE,"Tb05.5K5.170",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.180",0.7203125,4.375,TRUE,"Tb05.5K5.180",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.190",0.3390625,2.1875,TRUE,"Tb05.5K5.190",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.20",2.2,10.15625,TRUE,"Tb05.5K5.20",TRUE,1,1,0.52307129263651,4,1,0.540050465070255,1,1,0.538461538461538,7,1,0.537987631933789,1,1,1,1
"Tb05.5K5.200",0.2984375,3.28125,TRUE,"Tb05.5K5.200",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.210",0.6015625,4.0625,TRUE,"Tb05.5K5.210",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.220",0.4484375,2.5,TRUE,"Tb05.5K5.220",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.230",2.15625,3.59375,TRUE,"Tb05.5K5.230",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.240",1.2078125,2.03125,TRUE,"Tb05.5K5.240",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.250",0.01875,0.9375,TRUE,"Tb05.5K5.250",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.270",0.025,0.9375,TRUE,"Tb05.5K5.270",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.280",0.078125,1.40625,TRUE,"Tb05.5K5.280",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.290",0.1984375,3.59375,TRUE,"Tb05.5K5.290",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.30",1.7703125,7.03125,TRUE,"Tb05.5K5.30",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.310",0.203125,0.3125,TRUE,"Tb05.5K5.310",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.40",0.0171875,0.78125,TRUE,"Tb05.5K5.40",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.420",0.2453125,1.71875,TRUE,"Tb05.5K5.420",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.470",0.13125,0.46875,TRUE,"Tb05.5K5.470",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.500",0.4125,2.34375,TRUE,"Tb05.5K5.500",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.70",3.1359375,12.03125,TRUE,"Tb05.5K5.70",TRUE,1,0.0815922400406448,0.570897379593032,1,1,0.555952380952381,6,0.00314849179777828,0.597669365988544,6,1,0.569035409035409,0.15311380609875,0.718963262846421,0.0231353977150235,0.285512990563254
"Tb05.5K5.80",1.1953125,3.125,TRUE,"Tb05.5K5.80",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.90",3.121875,6.5625,TRUE,"Tb05.5K5.90",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb06.3A7.270",9.184375,7.8125,TRUE,"Tb06.3A7.270",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb06.3A7.960",5.728125,4.375,TRUE,"Tb06.3A7.960",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.11L3.100",0.6109375,3.59375,TRUE,"Tb07.11L3.100",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.11L3.90",2.553125,10.78125,TRUE,"Tb07.11L3.90",TRUE,1,1,0.539569609134826,5,1,0.543426717414363,4,1,0.537163054968288,6,1,0.551623931623932,1,1,1,1
"Tb07.30D13.110",0.596875,4.84375,TRUE,"Tb07.30D13.110",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.30D13.130",0.2734375,1.25,TRUE,"Tb07.30D13.130",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.30D13.160",2.384375,7.1875,TRUE,"Tb07.30D13.160",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.30D13.180",1.578125,5.46875,TRUE,"Tb07.30D13.180",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.30D13.60",1.215625,6.5625,TRUE,"Tb07.30D13.60",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb07.30D13.80",0.278125,3.90625,TRUE,"Tb07.30D13.80",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.110",1.6046875,0.9375,TRUE,"Tb08.27P2.110",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.160",0.2578125,1.5625,TRUE,"Tb08.27P2.160",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.400",1.284375,1.875,TRUE,"Tb08.27P2.400",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.50",0.85,1.25,TRUE,"Tb08.27P2.50",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.60",0.5265625,2.03125,TRUE,"Tb08.27P2.60",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.70",2.7859375,5.625,TRUE,"Tb08.27P2.70",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.80",1.3796875,6.5625,TRUE,"Tb08.27P2.80",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb08.27P2.90",0.13125,1.25,TRUE,"Tb08.27P2.90",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0009",0.2296875,2.03125,TRUE,"Tb09.v4.0009",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0011",0.0125,0.46875,TRUE,"Tb09.v4.0011",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0013",0.6296875,6.09375,TRUE,"Tb09.v4.0013",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0014",0.015625,0.625,TRUE,"Tb09.v4.0014",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0015",0.428125,2.5,TRUE,"Tb09.v4.0015",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0016",0.1015625,0.3125,TRUE,"Tb09.v4.0016",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0017",0.3765625,1.25,TRUE,"Tb09.v4.0017",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0018",0.10625,0.46875,TRUE,"Tb09.v4.0018",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0024",0.00625,0.3125,TRUE,"Tb09.v4.0024",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0037",0.003125,0.3125,TRUE,"Tb09.v4.0037",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0041",0.0046875,0.3125,TRUE,"Tb09.v4.0041",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0042",0.0859375,1.875,TRUE,"Tb09.v4.0042",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0056",0.5625,5.15625,TRUE,"Tb09.v4.0056",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0058",1.01875,12.03125,TRUE,"Tb09.v4.0058",TRUE,1,0.00232686596188364,0.591655687307861,2,1,0.564608039427075,5,0.204871103531992,0.597761397761398,7,0.432481475680695,0.585158320546799,0.0258916799088442,0.5308109072728,0.0123055063695216,0.0693389749125279
"Tb09.v4.0059",0.35,9.0625,TRUE,"Tb09.v4.0059",TRUE,1,0.00516633585821428,0.578275508710291,1,1,0.55440251572327,5,1,0.571280371280371,7,1,0.557818384711954,0.0623594543972273,1,0.267235614017461,1
"Tb09.v4.0060",2.0859375,11.875,TRUE,"Tb09.v4.0060",TRUE,1,0.468824939261372,0.565802957107305,2,1,0.537020637609734,5,1,0.558012558012558,7,1,0.558492583809922,1,1,0.172785454733243,1
"Tb09.v4.0063",0.13125,0.3125,TRUE,"Tb09.v4.0063",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0064",1.0171875,10.3125,TRUE,"Tb09.v4.0064",TRUE,1,0.855249830226872,0.562904406382667,2,1,0.561142769135993,5,1,0.567239967239967,3,1,0.578877005347594,1,1,1,1
"Tb09.v4.0065",3.440625,1.5625,TRUE,"Tb09.v4.0065",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0066",1.36875,20.46875,TRUE,"Tb09.v4.0066",TRUE,1,2.70000420290179e-05,0.637256624213146,1,0.243705013198903,0.612398921832884,6,0.0128929309320789,0.625380209362038,6,0.144057004116901,0.620976800976801,0.000475584266479177,0.00895475394028251,0.000371785560151887,0.0130863263333402
"Tb09.v4.0067",2.6375,26.40625,TRUE,"Tb09.v4.0067",TRUE,1,0.00247775624128545,0.621870882740448,5,0.83354017411613,0.625007799338616,4,1,0.605377906976744,5,1,0.605377906976744,6.5968808006265e-05,0.000497798589094353,8.11338273770133e-07,2.66264062622702e-05
"Tb09.v4.0083",0.0140625,0.46875,TRUE,"Tb09.v4.0083",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0104",0.009375,0.46875,TRUE,"Tb09.v4.0104",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0105",0.096875,2.03125,TRUE,"Tb09.v4.0105",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0106",0.01875,0.46875,TRUE,"Tb09.v4.0106",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0107",0.1078125,1.71875,TRUE,"Tb09.v4.0107",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0109",0.009375,0.78125,TRUE,"Tb09.v4.0109",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0143",0.0046875,0.3125,TRUE,"Tb09.v4.0143",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0146",0.425,8.59375,TRUE,"Tb09.v4.0146",TRUE,1,0.000963174676176632,0.582374469330991,2,0.0273869112715032,0.581202833821038,5,0.00249387567169975,0.608244608244608,7,0.00384431480618058,0.59808434463198,0.0169159607443813,0.0841815956003327,0.00756327765055722,0.0296639267721054
"Tb09.v4.0147",0.2078125,5.78125,TRUE,"Tb09.v4.0147",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0148",0.228125,5.625,TRUE,"Tb09.v4.0148",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0149",0.234375,4.21875,TRUE,"Tb09.v4.0149",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0150",7.6703125,8.75,TRUE,"Tb09.v4.0150",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0151",0.015625,0.625,TRUE,"Tb09.v4.0151",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb09.v4.0152",0.0390625,1.71875,TRUE,"Tb09.v4.0152",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0032",0.071875,2.1875,TRUE,"Tb10.v4.0032",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0033",0.028125,0.9375,TRUE,"Tb10.v4.0033",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0034",0.1265625,2.1875,TRUE,"Tb10.v4.0034",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0035",0.0046875,0.3125,TRUE,"Tb10.v4.0035",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0036",0.0171875,0.3125,TRUE,"Tb10.v4.0036",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0037",0.5078125,2.96875,TRUE,"Tb10.v4.0037",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0039",0.115625,0.9375,TRUE,"Tb10.v4.0039",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0041",0.7078125,2.1875,TRUE,"Tb10.v4.0041",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0042",0.125,3.28125,TRUE,"Tb10.v4.0042",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0043",0.0203125,1.09375,TRUE,"Tb10.v4.0043",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0044",0.6,2.8125,TRUE,"Tb10.v4.0044",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0045",0.640625,3.59375,TRUE,"Tb10.v4.0045",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0046",0.0796875,1.09375,TRUE,"Tb10.v4.0046",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0052",0.2875,8.75,TRUE,"Tb10.v4.0052",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0053",0.2140625,10.9375,TRUE,"Tb10.v4.0053",TRUE,2,1,0.528673835125448,5,1,0.569351718974231,4,1,0.553349630021142,3,1,0.554717341482047,1,1,1,1
"Tb10.v4.0070",0.009375,0.46875,TRUE,"Tb10.v4.0070",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0077",0.10625,0.3125,TRUE,"Tb10.v4.0077",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0082",0.00625,0.3125,TRUE,"Tb10.v4.0082",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0084",0.0078125,0.3125,TRUE,"Tb10.v4.0084",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0103",0.0171875,0.46875,TRUE,"Tb10.v4.0103",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0125",0.0078125,0.3125,TRUE,"Tb10.v4.0125",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0128",167.7234375,70,TRUE,"Tb10.v4.0128",TRUE,2,4.44970272196738e-16,0.794054782808852,5,1.71622564288799e-11,0.849441567355091,4,1.56718145040757e-11,0.860002642706131,5,1.58624691817408e-11,0.860002642706131,2.90957196304041e-15,2.04120236693656e-15,1.45623855917822e-14,5.6976555353066e-17
"Tb10.v4.0129",0.6625,21.25,TRUE,"Tb10.v4.0129",TRUE,4,0.187322064326195,0.582600195503421,3,0.426824881104633,0.578064120263844,2,9.64910087904144e-05,0.652642276422764,2,0.0733048931875989,0.599428258145363,0.114952915892857,0.205226522712886,6.27294054315032e-05,0.101389701144056
"Tb10.v4.0130",0.296875,0.78125,TRUE,"Tb10.v4.0130",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0134",0.0859375,0.3125,TRUE,"Tb10.v4.0134",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0155",0.1796875,1.40625,TRUE,"Tb10.v4.0155",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0156",0.009375,0.46875,TRUE,"Tb10.v4.0156",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0177",0.1015625,0.3125,TRUE,"Tb10.v4.0177",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0213",0.0328125,0.3125,TRUE,"Tb10.v4.0213",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0214",0.6671875,0.46875,TRUE,"Tb10.v4.0214",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0215",0.078125,2.5,TRUE,"Tb10.v4.0215",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0218",0.009375,0.3125,TRUE,"Tb10.v4.0218",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0219",1.721875,12.1875,TRUE,"Tb10.v4.0219",TRUE,1,4.86673722828252e-14,0.666959449568145,1,1.02999582985724e-10,0.683962264150943,6,9.56207722600556e-10,0.665613272763184,6,6.82049136369933e-12,0.700610500610501,2.93849194791209e-12,3.9885142574032e-11,2.67435278719942e-10,3.56192355432215e-12
"Tb10.v4.0220",0.284375,4.84375,TRUE,"Tb10.v4.0220",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0221",1.4390625,7.34375,TRUE,"Tb10.v4.0221",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0245",3.4515625,9.0625,TRUE,"Tb10.v4.0245",TRUE,3,1,0.554347826086957,5,1,0.573906532726025,5,1,0.565956865956866,5,1,0.557181553911205,1,1,0.374457110693694,0.992827658958548
"Tb10.v4.0246",0.0109375,0.625,TRUE,"Tb10.v4.0246",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0247",0.0046875,0.46875,TRUE,"Tb10.v4.0247",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0248",0.0328125,1.71875,TRUE,"Tb10.v4.0248",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0249",0.09375,1.5625,TRUE,"Tb10.v4.0249",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0250",0.0328125,2.03125,TRUE,"Tb10.v4.0250",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb10.v4.0251",0.0703125,0.46875,TRUE,"Tb10.v4.0251",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.01.1680.v5",0.5046875,13.125,TRUE,"Tb11.01.1680.v5",TRUE,3,1,0.520380434782609,1,1,0.539038634321653,2,1,0.560569105691057,6,1,0.552869352869353,1,1,1,1
"Tb11.01.2730",29.68125,16.25,TRUE,"Tb11.01.2730",TRUE,2,1,0.521423169247969,5,1,0.579459661820678,4,1,0.564283826638478,5,1,0.564283826638478,1,1,1,1
"Tb11.01.6240",0.0734375,2.1875,TRUE,"Tb11.01.6240",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.01.6241",0.1328125,1.71875,TRUE,"Tb11.01.6241",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.01.6250",1.5140625,2.65625,TRUE,"Tb11.01.6250",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.01.6251",0.4515625,2.5,TRUE,"Tb11.01.6251",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5060b",0.003125,0.3125,TRUE,"Tb11.02.5060b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5070b",0.0671875,0.78125,TRUE,"Tb11.02.5070b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5080b",0.3328125,2.1875,TRUE,"Tb11.02.5080b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5090b",0.0078125,0.78125,TRUE,"Tb11.02.5090b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5100b",0.0828125,1.875,TRUE,"Tb11.02.5100b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5105b",0.134375,2.1875,TRUE,"Tb11.02.5105b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb11.02.5110b",0.125,1.40625,TRUE,"Tb11.02.5110b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
